Internal labels,DataType
ServicerName,String
InvestorCode,LIST
LoanNumber,String
InvestorLoanIdentifier,String
PLS_ID,String
PrincipalandInterestPaymentAmount,Currency
EscrowsWaivedIndicator,Boolean
LoanAmortizationTypeCode,LIST
PropertyTypeCode,LIST
CapitalizedTotalAmount,Currency
PropertyOccupancyStatusCode,LIST
UnpaidPrincipalBalanceAmount,Currency
Mod_Lien_Original_Loan_Bal,Currency
EscrowPaymentAmount,Currency
CurrentLastPaidInstallmentDate,Date
LoanRemainingTerm,Numeric
ExistingForbearanceAmount,Currency
CapitalizedFees,Currency
GrossMonthlyIncome,Currency
CurrentInterestRate,Numeric
LoanEscrowAdvanceAmount,Currency
ForeclosureStatusCode,LIST
LoanRunType,LIST
LoanInForeclosureIndicator,Boolean
HardshipDurationTypeCode,LIST
MonthlyHousingExpense,Currency
MortgageInsuranceIndicator,Boolean
LoanPriorModificationIndicator,Boolean
HardshipReasonCode1,LIST
EscrowedHazardInsuranceIndicator,Boolean
EscrowedPropertyTaxIndicator,Boolean
LoanImminentDefaultIndicator,Boolean
MonthlyHazardInsuranceAmount,Currency
MonthlyMortgageInsuranceAmount,Currency
MonthlyRealEstateTaxAmount,Currency
AmortizationTermatOrigination,Numeric
LienTypeCode,LIST
LoanOriginalMaturityDate,Date
PropertyConditionCode,LIST
PropertyValuationAmount,Currency
PropertyValuationDate,Date
MonthlyHOAAmount,Currency
FutureEscrowShortagePaymentAmount,Currency
MonthlyFloodInsuranceAmount,Currency
EscrowedFloodInsuranceIndicator,Boolean
MonthlyExpenseAmount,Currency
PriorWorkoutTypeCode1,LIST
PriorWorkoutStatusTypeCode1,LIST
LateCharges,Currency
Borrower1_FirstName,String
Borrower1_LastName,String
PropertyAddress,String
NetMonthlyIncome,Currency
PropertyCity,String
VerifiedHardshipIndicator,Boolean
CreditReportIndicator,Boolean
PropertyCounty,LIST
PropertyStateCode,LIST
PropertyZip,String
CreditLiabilityAmount,Currency
TrialInterestRate,Numeric
BorrowerContributionAmount,Currency
SuspenseBalanceAmount,Currency
CurrentEscrowShortagePaymentAmount,Currency
VerifiedStableIncomeIndicator,Boolean
DisasterDeclaredDate,Date
PriorWorkoutCompletedDate1,Date
ResumeMonthlyPaymentsEvidenceIndicator,Boolean
TotalEscrowShortagePaymentAmount,Currency
AccumulatedLateFeesWaivedIndicator,Boolean
HardshipDocumentReceivedIndicator,Boolean
EscrowedAssociationDuesIndicator,Boolean
EscrowShortageRepayMonths,Int
DateofOriginalNote,Date
PropertyNumberofUnits,Numeric
PropertyUsageTypeCode,LIST
UPBofExistingPartialClaim,Currency
FutureMonthlyRealEstateTaxAmount,Currency
FutureMonthlyHOAAmount,Currency
FutureMonthlyMortgageInsuranceAmount,Currency
FutureMonthlyHazardInsuranceAmount,Currency
FutureMonthlyFloodInsuranceAmount,Currency
ModifiedMortgagePaymentBorrowerConsentIndicator,Boolean
BorrowerHardshipStatusCode,LIST
ForbearancePaymentAffordabilityIndicator,Boolean
RePayDebtWithinSixMonthsIndicator,Boolean
LoanPreviousModDate,Date
PriorWorkoutActivityTypeCode1,LIST
PriorWorkoutFailOrCancelReasonTypeCode1,LIST
PriorWorkoutStatusDate1,Date
OtherAdvancesForCapitalization,Currency
CapitalizedInterestAmount,Currency
FirstPermPaymentDueDate,Date
FirstTrialPaymentDueDate,Date
LoanMortgageTypeCode,LIST
CoBorrowerIndicator,Boolean
AdditionalCoBorrower1Indicator,Boolean
AdditionalCoBorrower2Indicator,Boolean
AdditionalCoBorrower3Indicator,Boolean
NonBorrowerIndicator,Boolean
PCEscrowOverage,Currency
NumberofPreviousMod,Int
BankruptcyType1,LIST
BankruptcyStatusType1,LIST
BorrowerCurrentLegalOwnerIndicator,Boolean
LoanCurrentOrLessThan30DaysPastDueFromDisasterDeclaredIndicator,Boolean
InvestorApprovalIndicator,Boolean
FirstPaymentDateatOrigination,Date
TrialPeriod,Int
DelinquencyUnresolved12MonthIndicator,Boolean
TheborrowerNoGreaterthan120dayspastDue,Boolean
InitialForbearanceRequest,Boolean
LastApprovedPSAWithin36MonthsIndicator,Boolean
ServicerLoanIdentifier,Numeric
FannieMaeServicerIdentifier,Numeric
WorkoutTypeCode,List
UseAssociatedTrialIndicator,Boolean
CampaignTrialPeriodLength,Numeric
RequestID,String
Borrower2_FirstName,String
Borrower2_LastName,String
Borrower3_FirstName,String
Borrower3_LastName,String
Borrower4_FirstName,String
Borrower4_LastName,String
Borrower5_FirstName,String
Borrower5_LastName,String
Borrower6_FirstName,String
Borrower6_LastName,String
Borrower1CreditScore,Numeric
Borrower2CreditScore,Numeric
Borrower3CreditScore,Numeric
Borrower4CreditScore,Numeric
Borrower5CreditScore,Numeric
Borrower6CreditScore,Numeric
PropertyAddressStreetLine2,String
NextARMResetRate,Numeric
NextARMResetDate,Date
LifetimeInterestRateCapForARMLoans,Numeric
FinalInterestRateForStepRateLoans,Numeric
ValuationTypeCode,LIST
InterestRateatOrigination,Numeric
OriginalNoteAmount,Currency
LoanEscrowShortagePaybackDurationMonthCount,Numeric
EscrowProhibitedByLawIndicator,Boolean
ForgivenInterestAmount,Currency
AttorneyCosts,Currency
LoanCurrentEscrowAdvanceAmount,Currency
HardshipReasonCode2,LIST
HardshipReasonCode3,LIST
MICompanyName,String
InsuranceCoveragePercent,Numeric
MIPartialClaimAmount,Currency
MortgageInsuranceContactName,String
MortgageInsuranceRequiredBorrowerContributionAmount,Currency
MortgageInsuranceDecision,Boolean
MortgageInsuranceContactPhoneNumber,Numeric
MICertificateNumber,String
MIDecisionComment,String
MBSPoolIssueDate,Date
PMMSRateLockDate,Date
DataCollectionDate,Date
DiscountRateRiskPremium,Numeric
PrincipalPaymentAmount1,Currency
PrincipalPaymentAmount2,Currency
PrincipalPaymentAmount3,Currency
PrincipalPaymentAmount4,Currency
InterestPaymentAmount1,Currency
InterestPaymentAmount2,Currency
InterestPaymentAmount3,Currency
InterestPaymentAmount4,Currency
ContractualPaymentDueDate1,Date
ContractualPaymentDueDate2,Date
ContractualPaymentDueDate3,Date
ContractualPaymentDueDate4,Date
ContractualPaymentAmount1,Currency
ContractualPaymentAmount2,Currency
ContractualPaymentAmount3,Currency
ContractualPaymentAmount4,Currency
TrialPaymentRemainingAmount,Currency
TrialPeriodInterestAmount,Currency
MbsPoolIdentifier,Numeric
LastReportedUPBAmount,Currency
PreTrialExpectedPaymentAmount,Currency
EstimatedHazardInsuranceProceeds,Currency
EstimatedMortgageInsuranceProceeds,Currency
ForeclosureSaleDate,Date
HardshipStartDate1,Date
HardshipEndDate1,Date
HardshipStartDate2,Date
HardshipEndDate2,Date
HardshipStartDate3,Date
HardshipEndDate3,Date
BorrowerPosition1,Numeric
BorrowerPosition2,Numeric
BorrowerPosition3,Numeric
BorrowerPosition4,Numeric
BorrowerPosition5,Numeric
BorrowerPosition6,Numeric
AssetType1,LIST
AssetType2,LIST
AssetType3,LIST
AssetType4,LIST
AssetType5,LIST
AssetType6,LIST
AssetValueAmount1,Currency
AssetValueAmount2,Currency
AssetValueAmount3,Currency
AssetValueAmount4,Currency
AssetValueAmount5,Currency
AssetValueAmount6,Currency
IncomeType1,LIST
IncomeType2,LIST
IncomeType3,LIST
IncomeType4,LIST
IncomeType5,LIST
IncomeType6,LIST
GrossMonthlyIncome2,Currency
GrossMonthlyIncome3,Currency
GrossMonthlyIncome4,Currency
GrossMonthlyIncome5,Currency
GrossMonthlyIncome6,Currency
BorrowerExpenseType1,LIST
BorrowerExpenseType2,LIST
BorrowerExpenseType3,LIST
BorrowerExpenseType4,LIST
BorrowerExpenseType5,LIST
BorrowerExpenseType6,LIST
Borrower2ExpenseMonthlyPaymentAmount,Currency
Borrower3ExpenseMonthlyPaymentAmount,Currency
Borrower4ExpenseMonthlyPaymentAmount,Currency
Borrower5ExpenseMonthlyPaymentAmount,Currency
Borrower6ExpenseMonthlyPaymentAmount,Currency
PriorWorkoutPaymentReductionPercent,Numeric
PriorWorkoutSubsequentDelinquencySeverity,Numeric
PropertyDispositionType,LIST
BorrowerOccupancyIndicator1,Boolean
BorrowerOccupancyIndicator2,Boolean
BorrowerOccupancyIndicator3,Boolean
BorrowerOccupancyIndicator4,Boolean
BorrowerOccupancyIndicator5,Boolean
BorrowerOccupancyIndicator6,Boolean
SCRAReliefType,LIST
SubordinateFinancingAmount,Currency
PreWorkoutUPBAtTrial,Currency
LastGrossUPBReportedToSir,Currency
TrialEligibilityDate,Date
LoanPaymentFrequencyCode,LIST
LoanRemittanceTypeCode,LIST
PropertyRepairCostAmount,Currency
DelinquentInterestThroughSubmissionDateAmount,Currency
LoanForeclosureSaleDateTypeCode,LIST
BorrowerBankruptcyIndicator1,Boolean
BorrowerBankruptcyIndicator2,Boolean
BorrowerBankruptcyIndicator3,Boolean
BorrowerBankruptcyIndicator4,Boolean
BorrowerBankruptcyIndicator5,Boolean
BorrowerBankruptcyIndicator6,Boolean
LitigationDescriptionType,LIST
LitigationStatusType,LIST
LitigationStatusDate,Date
LitigationSubjectPropertyIndicator,Boolean
LitigationTitleConveyanceLimitationIndicator,Boolean
BankruptcyReaffirmationIndicator,Boolean
OtherRelocationAssistanceAmount,Currency
PurchaseOfferReceivedDate ,Date
PurchaseOfferAmount,Currency
PurchaseOfferClosingDate,Date
NetSalesProceedsAmount,Currency
SubjectPropertyMarketRentAmount ,Currency
DisasterName1,String
DisasterName2,String
DisasterName3,String
